,month,account_id,region,category,spend_level,revenue,live_ad,new_AA,paid_ad,listing_fee,bump_feature,multi_bump_feature,sa_feature,other_feature,shop_feature,adview_received,adview_per_live_ad_per_day,lead_received,lead_per_live_ad_per_day,spending_per_paid_ads,spending_per_live_ad,month_ex
419,2021-12-01,2479,HCM,MC,light,54545,1.0,0.0,1,0,4,0,0,0,0,1007.0,38.73076923076923,16.0,0.6153846153846154,54545.0,54545.0,12
420,2022-02-01,2479,HCM,Car,light,322088,1.0,1.0,1,1,16,0,0,0,0,3951.0,171.7826086956522,159.0,6.913043478260869,322088.0,322088.0,2
421,2022-02-01,2479,HCM,MC,light,115741,4.0,4.0,4,4,3,0,0,0,0,1135.0,49.34782608695652,62.0,2.6956521739130435,28935.25,28935.25,2
463,2021-10-01,2954,HN,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,58.0,29.0,4.0,2.0,18182.0,18182.0,10
464,2021-12-01,2954,HN,MC,light,45455,1.0,1.0,1,1,2,0,0,0,0,75.0,2.7777777777777777,4.0,0.1481481481481481,45455.0,45455.0,12
472,2021-11-01,2970,HCM,MC,light,172727,3.0,3.0,3,3,9,0,0,0,0,572.0,44.0,30.0,2.3076923076923075,57575.66666666666,57575.66666666666,11
547,2021-12-01,3193,HCM,MC,light,13636,,,1,0,1,0,0,0,0,,,,,13636.0,,12
660,2021-11-01,4092,HCM,MC,light,17658,1.0,1.0,1,1,0,0,0,0,0,155.0,77.5,17.0,8.5,17658.0,17658.0,11
689,2021-10-01,4210,HN,MC,light,45455,1.0,1.0,1,1,2,0,0,0,0,174.0,6.444444444444445,19.0,0.7037037037037037,45455.0,45455.0,10
690,2021-11-01,4210,HN,MC,light,13636,1.0,0.0,1,0,1,0,0,0,0,58.0,8.285714285714286,4.0,0.5714285714285714,13636.0,13636.0,11
691,2022-01-01,4210,HN,MC,light,27273,1.0,0.0,1,0,2,0,0,0,0,173.0,14.416666666666666,11.0,0.9166666666666666,27273.0,27273.0,1
692,2022-02-01,4210,HN,MC,light,27273,1.0,0.0,1,0,2,0,0,0,0,398.0,39.8,26.0,2.6,27273.0,27273.0,2
710,2021-11-01,4238,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,66.0,66.0,5.0,5.0,18182.0,18182.0,11
711,2021-12-01,4238,HCM,MC,light,159091,2.0,2.0,2,2,9,0,0,0,0,1018.0,53.578947368421055,39.0,2.0526315789473686,79545.5,79545.5,12
746,2021-10-01,4427,HCM,MC,light,61983,1.0,1.0,1,1,1,0,0,1,0,634.0,24.384615384615383,11.0,0.423076923076923,61983.0,61983.0,10
822,2021-11-01,4687,HCM,MC,light,27111,1.0,1.0,1,0,2,0,0,0,0,7.0,0.3181818181818181,1.0,0.0454545454545454,27111.0,27111.0,11
864,2021-12-01,5269,HCM,MC,light,81818,3.0,3.0,3,3,2,0,0,0,0,652.0,23.285714285714285,11.0,0.3928571428571428,27272.666666666668,27272.666666666668,12
865,2022-01-01,5269,HCM,MC,light,100000,4.0,1.0,4,1,6,0,0,0,0,1717.0,14.308333333333334,31.0,0.2583333333333333,25000.0,25000.0,1
887,2021-12-01,5509,HCM,MC,light,31316,1.0,1.0,1,1,1,0,0,0,0,100.0,16.666666666666668,8.0,1.3333333333333333,31316.0,31316.0,12
891,2021-11-01,5596,HCM,MC,light,31818,1.0,1.0,1,1,1,0,0,0,0,142.0,9.466666666666665,,,31818.0,31818.0,11
957,2021-10-01,6117,HCM,MC,light,45185,1.0,1.0,1,1,2,0,0,0,0,251.0,125.5,4.0,2.0,45185.0,45185.0,10
1001,2022-01-01,6502,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,23.0,23.0,3.0,3.0,18182.0,18182.0,1
1012,2021-10-01,6552,HCM,Car,light,181818,,,0,0,0,0,0,0,1,,,,,,,10
1013,2021-11-01,6552,HCM,Car,light,218182,1.0,1.0,1,0,2,0,0,0,1,114.0,16.285714285714285,,,218182.0,218182.0,11
1014,2021-12-01,6552,HCM,Car,light,218182,3.0,2.0,2,0,2,0,0,0,1,168.0,21.0,8.0,1.0,109091.0,72727.33333333331,12
1015,2022-01-01,6552,HCM,Car,light,90909,1.0,1.0,1,0,5,0,0,0,0,785.0,65.41666666666667,32.0,2.6666666666666665,90909.0,90909.0,1
1112,2021-10-01,6908,HN,Car,light,93281,1.0,0.0,2,0,1,1,0,1,0,66.0,22.0,5.0,1.6666666666666667,46640.5,93281.0,10
1113,2021-11-01,6908,HN,Car,light,11858,,,1,0,1,0,0,0,0,,,,,11858.0,,11
1152,2021-12-01,7073,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,38.0,38.0,13.0,13.0,18182.0,18182.0,12
1158,2021-10-01,7154,HN,Car,light,63636,,,1,1,2,0,0,0,0,,,,,63636.0,,10
1159,2021-11-01,7154,HN,Car,light,18182,,,1,0,1,0,0,0,0,,,,,18182.0,,11
1160,2022-01-01,7154,HN,Car,light,81818,1.0,1.0,1,1,3,0,0,0,0,314.0,104.66666666666669,5.0,1.6666666666666667,81818.0,81818.0,1
1161,2022-02-01,7154,HN,Car,light,363636,1.0,0.0,1,0,20,0,0,0,0,3046.0,108.78571428571428,91.0,3.25,363636.0,363636.0,2
1236,2021-10-01,7832,HCM,MC,light,90909,2.0,2.0,2,2,4,0,0,0,0,365.0,15.869565217391305,5.0,0.217391304347826,45454.5,45454.5,10
1237,2021-11-01,7832,HCM,MC,light,150000,2.0,0.0,2,0,11,0,0,0,0,374.0,10.685714285714283,8.0,0.2285714285714285,75000.0,75000.0,11
1238,2021-12-01,7832,HCM,MC,light,190909,2.0,0.0,2,0,14,0,0,0,0,868.0,24.8,25.0,0.7142857142857143,95454.5,95454.5,12
1252,2022-02-01,7934,HCM,MC,light,18519,1.0,1.0,1,1,0,0,0,0,0,196.0,32.666666666666664,21.0,3.5,18519.0,18519.0,2
1270,2021-11-01,7971,HCM,MC,light,95455,3.0,3.0,3,3,3,0,0,0,0,885.0,126.42857142857144,55.0,7.857142857142858,31818.33333333333,31818.33333333333,11
1273,2021-10-01,7989,HN,Car,light,129447,1.0,0.0,1,0,8,0,0,0,0,662.0,21.35483870967742,27.0,0.8709677419354838,129447.0,129447.0,10
1274,2021-11-01,7989,HN,Car,light,102767,2.0,1.0,1,1,5,0,0,0,0,706.0,33.61904761904762,41.0,1.9523809523809523,102767.0,51383.5,11
1275,2021-12-01,7989,HN,Car,light,173913,3.0,2.0,3,2,8,0,0,0,0,1336.0,22.64406779661017,40.0,0.6779661016949152,57971.0,57971.0,12
1276,2022-01-01,7989,HN,Car,light,39526,2.0,1.0,1,1,1,0,0,0,0,458.0,15.266666666666667,10.0,0.3333333333333333,39526.0,19763.0,1
1277,2022-01-01,8000,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,317.0,12.192307692307692,8.0,0.3076923076923077,18182.0,18182.0,1
1310,2021-10-01,8265,HCM,Car,light,87273,4.0,4.0,4,4,0,0,0,0,0,760.0,14.339622641509434,11.0,0.2075471698113207,21818.25,21818.25,10
1311,2021-11-01,8265,HCM,Car,light,54545,4.0,0.0,3,0,3,0,0,0,0,799.0,6.658333333333333,6.0,0.05,18181.666666666668,13636.25,11
1317,2021-11-01,8367,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,153.0,38.25,8.0,2.0,18182.0,18182.0,11
1357,2021-10-01,8643,HCM,MC,light,14545,1.0,1.0,1,1,0,0,0,0,0,314.0,157.0,13.0,6.5,14545.0,14545.0,10
1365,2021-11-01,8899,HCM,Car,light,18017,1.0,1.0,1,0,1,0,0,0,0,180.0,36.0,4.0,0.8,18017.0,18017.0,11
1386,2022-01-01,8979,HCM,MC,light,113636,1.0,1.0,1,1,1,0,0,1,0,294.0,9.8,2.0,0.0666666666666666,113636.0,113636.0,1
1387,2022-02-01,8979,HCM,MC,light,78182,1.0,0.0,1,0,0,2,0,0,0,683.0,24.392857142857142,19.0,0.6785714285714286,78182.0,78182.0,2
1401,2021-10-01,9174,HCM,MC,light,14545,1.0,1.0,1,1,0,0,0,0,0,205.0,17.083333333333332,14.0,1.1666666666666667,14545.0,14545.0,10
1402,2021-12-01,9174,HCM,MC,light,18182,2.0,1.0,1,1,0,0,0,0,0,223.0,5.186046511627907,21.0,0.4883720930232557,18182.0,9091.0,12
1454,2021-10-01,9600,HCM,MC,light,255455,2.0,2.0,2,2,18,0,0,0,0,1441.0,27.71153846153846,46.0,0.8846153846153845,127727.5,127727.5,10
1455,2021-11-01,9600,HCM,MC,light,185606,2.0,1.0,2,1,15,0,0,0,0,890.0,18.93617021276596,24.0,0.5106382978723403,92803.0,92803.0,11
1456,2021-12-01,9600,HCM,MC,light,22727,1.0,0.0,1,0,2,0,0,0,0,168.0,14.0,1.0,0.0833333333333333,22727.0,22727.0,12
1459,2021-10-01,9633,HN,Car,light,27198,4.0,1.0,1,1,0,0,0,0,0,361.0,3.2522522522522523,3.0,0.027027027027027,27198.0,6799.5,10
1460,2021-11-01,9633,HN,Car,light,135988,8.0,4.0,5,5,0,0,0,0,0,1081.0,9.008333333333333,24.0,0.2,27197.6,16998.5,11
1461,2022-01-01,9633,HN,Car,light,108790,7.0,2.0,2,2,3,0,0,0,0,984.0,8.70796460176991,12.0,0.1061946902654867,54395.0,15541.428571428572,1
1503,2022-01-01,9872,HCM,MC,light,18182,,,1,1,0,0,0,0,0,,,,,18182.0,,1
1507,2021-10-01,9935,HCM,MC,light,75207,1.0,1.0,1,1,5,0,0,0,0,586.0,29.3,5.0,0.25,75207.0,75207.0,10
1508,2021-11-01,9935,HCM,MC,light,221570,2.0,1.0,2,1,15,0,0,0,0,1619.0,35.19565217391305,15.0,0.3260869565217391,110785.0,110785.0,11
1509,2021-12-01,9935,HCM,MC,light,188843,2.0,1.0,2,1,13,0,0,0,0,2460.0,82.0,33.0,1.1,94421.5,94421.5,12
1510,2022-01-01,9935,HCM,MC,light,78099,1.0,0.0,1,0,6,0,0,0,0,1113.0,85.61538461538461,12.0,0.9230769230769232,78099.0,78099.0,1
1518,2021-10-01,9943,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,662.0,27.58333333333333,26.0,1.0833333333333333,18182.0,18182.0,10
1521,2021-10-01,9962,HCM,Car,light,272727,1.0,0.0,1,0,15,0,0,0,0,1206.0,38.903225806451616,19.0,0.6129032258064516,272727.0,272727.0,10
1522,2021-11-01,9962,HCM,Car,light,36364,1.0,0.0,1,0,2,0,0,0,0,465.0,33.214285714285715,9.0,0.6428571428571429,36364.0,36364.0,11
1544,2021-12-01,10356,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,225.0,37.5,24.0,4.0,18182.0,18182.0,12
1581,2021-11-01,10573,HCM,Car,light,18182,,,1,1,0,0,0,0,0,,,,,18182.0,,11
1586,2021-10-01,10682,HCM,Car,light,94545,2.0,1.0,2,1,4,0,0,0,0,287.0,6.377777777777777,6.0,0.1333333333333333,47272.5,47272.5,10
1587,2021-11-01,10682,HCM,Car,light,468300,3.0,1.0,3,1,28,0,0,0,0,1152.0,17.723076923076924,19.0,0.2923076923076923,156100.0,156100.0,11
1588,2021-12-01,10682,HCM,Car,light,54427,3.0,0.0,3,0,3,0,0,0,0,407.0,5.898550724637682,11.0,0.1594202898550724,18142.33333333333,18142.33333333333,12
1639,2021-11-01,11208,HCM,MC,light,13636,1.0,1.0,1,0,1,0,0,0,0,534.0,133.5,21.0,5.25,13636.0,13636.0,11
1683,2021-10-01,11469,HCM,MC,light,14545,1.0,1.0,1,1,0,0,0,0,0,309.0,154.5,19.0,9.5,14545.0,14545.0,10
1745,2021-10-01,12957,HCM,Car,light,181818,4.0,4.0,4,4,4,0,0,0,0,1233.0,61.65,13.0,0.65,45454.5,45454.5,10
1749,2021-12-01,13188,HCM,MC,light,16529,1.0,1.0,1,1,0,0,0,0,0,44.0,44.0,10.0,10.0,16529.0,16529.0,12
1750,2022-01-01,13188,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,180.0,22.5,7.0,0.875,18182.0,18182.0,1
1751,2022-02-01,13188,HCM,MC,light,18182,2.0,1.0,1,1,0,0,0,0,0,382.0,18.19047619047619,26.0,1.238095238095238,18182.0,9091.0,2
1813,2021-12-01,13690,HCM,MC,light,54545,3.0,3.0,3,3,0,0,0,0,0,1871.0,49.23684210526316,45.0,1.1842105263157894,18181.666666666668,18181.666666666668,12
1814,2022-01-01,13690,HCM,MC,light,231714,4.0,2.0,3,2,0,2,0,0,0,5854.0,71.39024390243904,93.0,1.1341463414634143,77238.0,57928.5,1
1815,2022-02-01,13690,HCM,MC,light,18182,4.0,1.0,1,1,0,0,0,0,0,2480.0,24.07766990291262,44.0,0.4271844660194174,18182.0,4545.5,2
1816,2022-01-01,13870,HCM,Car,light,259091,1.0,1.0,1,1,0,1,0,1,0,349.0,43.625,32.0,4.0,259091.0,259091.0,1
1896,2021-10-01,14392,HCM,MC,light,13223,1.0,1.0,1,1,0,0,0,0,0,115.0,5.476190476190476,4.0,0.1904761904761904,13223.0,13223.0,10
1897,2021-11-01,14392,HCM,MC,light,41322,2.0,1.0,1,1,2,0,0,0,0,368.0,8.363636363636363,8.0,0.1818181818181818,41322.0,20661.0,11
1898,2021-12-01,14392,HCM,MC,light,28926,2.0,1.0,2,1,1,0,0,0,0,139.0,6.95,2.0,0.1,14463.0,14463.0,12
1899,2022-02-01,14392,HCM,MC,light,27190,2.0,0.0,2,0,2,0,0,0,0,176.0,44.0,10.0,2.5,13595.0,13595.0,2
1926,2022-01-01,14645,HCM,Car,light,0,,,1,1,0,0,0,0,0,,,,,0.0,,1
1946,2021-10-01,14921,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,118.0,59.0,2.0,1.0,18182.0,18182.0,10
1947,2021-11-01,14921,HCM,MC,light,459091,8.0,8.0,8,8,15,0,3,0,0,4335.0,98.52272727272727,131.0,2.977272727272727,57386.375,57386.375,11
1948,2021-12-01,14921,HCM,MC,light,296443,6.0,5.0,6,5,20,0,0,0,0,4012.0,93.30232558139537,68.0,1.5813953488372092,49407.16666666666,49407.16666666666,12
1949,2022-01-01,14921,HCM,MC,light,158352,5.0,1.0,5,1,12,0,0,0,0,4047.0,52.55844155844156,109.0,1.4155844155844155,31670.4,31670.4,1
1957,2021-10-01,14926,HCM,Car,light,37603,1.0,1.0,1,1,1,0,0,0,0,511.0,102.2,30.0,6.0,37603.0,37603.0,10
1958,2021-11-01,14926,HCM,Car,light,66116,2.0,2.0,2,2,1,0,0,0,0,777.0,35.31818181818182,12.0,0.5454545454545454,33058.0,33058.0,11
1959,2021-12-01,14926,HCM,Car,light,49587,3.0,2.0,2,2,0,0,0,0,0,982.0,25.179487179487175,45.0,1.1538461538461535,24793.5,16529.0,12
1960,2022-01-01,14926,HCM,Car,light,99174,6.0,4.0,4,4,0,0,0,0,0,715.0,42.05882352941177,32.0,1.8823529411764703,24793.5,16529.0,1
1961,2022-02-01,14926,HCM,Car,light,24793,1.0,1.0,1,1,0,0,0,0,0,318.0,106.0,13.0,4.333333333333333,24793.0,24793.0,2
1994,2021-10-01,15396,HCM,MC,light,128099,1.0,1.0,1,1,9,0,0,0,0,388.0,29.846153846153847,2.0,0.1538461538461538,128099.0,128099.0,10
1995,2021-11-01,15396,HCM,MC,light,150000,1.0,0.0,1,0,11,0,0,0,0,360.0,12.0,3.0,0.1,150000.0,150000.0,11
1996,2021-12-01,15396,HCM,MC,light,12397,1.0,0.0,1,0,1,0,0,0,0,65.0,2.708333333333333,,,12397.0,12397.0,12
1997,2022-01-01,15446,HCM,MC,light,18074,1.0,1.0,1,1,0,0,0,0,0,188.0,37.6,,,18074.0,18074.0,1
2039,2021-10-01,16225,HN,MC,light,31316,1.0,1.0,1,1,1,0,0,0,0,264.0,88.0,20.0,6.666666666666667,31316.0,31316.0,10
2040,2022-01-01,16376,HCM,MC,light,31039,1.0,1.0,1,1,1,0,0,0,0,385.0,25.666666666666668,37.0,2.466666666666667,31039.0,31039.0,1
2079,2021-10-01,17000,HCM,MC,light,17922,1.0,1.0,1,1,0,0,0,0,0,2008.0,69.24137931034483,76.0,2.6206896551724137,17922.0,17922.0,10
2080,2021-12-01,17000,HCM,MC,light,18182,2.0,1.0,1,1,0,0,0,0,0,4840.0,230.47619047619048,69.0,3.2857142857142856,18182.0,9091.0,12
2081,2022-01-01,17000,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,209.0,8.038461538461538,8.0,0.3076923076923077,18182.0,18182.0,1
2094,2021-12-01,17516,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,48.0,48.0,8.0,8.0,18182.0,18182.0,12
2095,2022-02-01,17516,HCM,MC,light,18519,1.0,1.0,1,1,0,0,0,0,0,301.0,100.33333333333331,25.0,8.333333333333334,18519.0,18519.0,2
2096,2022-01-01,17886,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,52.0,52.0,10.0,10.0,18182.0,18182.0,1
2130,2021-10-01,18754,HN,Car,light,90909,1.0,0.0,1,0,5,0,0,0,0,701.0,22.61290322580645,15.0,0.4838709677419355,90909.0,90909.0,10
2131,2021-11-01,18754,HN,Car,light,72727,1.0,0.0,1,0,4,0,0,0,0,724.0,24.133333333333333,15.0,0.5,72727.0,72727.0,11
2132,2021-12-01,18754,HN,Car,light,72727,1.0,0.0,1,0,4,0,0,0,0,455.0,15.689655172413794,8.0,0.2758620689655172,72727.0,72727.0,12
2186,2021-10-01,19282,HCM,MC,light,4545,,,1,1,0,0,0,0,0,,,,,4545.0,,10
2249,2021-10-01,19913,HN,MC,light,100909,2.0,2.0,2,2,2,0,0,1,0,442.0,15.241379310344827,7.0,0.2413793103448276,50454.5,50454.5,10
2250,2021-11-01,19913,HN,MC,light,13636,1.0,0.0,1,0,1,0,0,0,0,419.0,13.966666666666669,3.0,0.1,13636.0,13636.0,11
2251,2021-12-01,19913,HN,MC,light,86364,2.0,1.0,2,1,5,0,0,0,0,487.0,9.01851851851852,19.0,0.3518518518518518,43182.0,43182.0,12
2267,2021-11-01,20437,HCM,Car,light,27273,1.0,1.0,1,1,0,0,0,0,0,472.0,33.714285714285715,15.0,1.0714285714285714,27273.0,27273.0,11
2268,2021-12-01,20437,HCM,Car,light,18182,1.0,0.0,1,0,1,0,0,0,0,682.0,22.0,18.0,0.5806451612903226,18182.0,18182.0,12
2299,2021-11-01,20928,HCM,MC,light,53719,1.0,1.0,1,1,0,0,0,1,0,133.0,66.5,2.0,1.0,53719.0,53719.0,11
2300,2021-12-01,20928,HCM,MC,light,33058,2.0,2.0,2,2,0,0,0,0,0,415.0,6.916666666666667,5.0,0.0833333333333333,16529.0,16529.0,12
2321,2021-10-01,21407,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,99.0,3.807692307692308,,,18182.0,18182.0,10
2327,2021-10-01,21710,HN,MC,light,69091,3.0,1.0,2,1,4,0,0,0,0,137.0,2.3220338983050848,2.0,0.0338983050847457,34545.5,23030.33333333333,10
2328,2021-11-01,21710,HN,MC,light,86364,2.0,1.0,2,1,5,0,0,0,0,111.0,2.707317073170732,7.0,0.1707317073170731,43182.0,43182.0,11
2329,2021-12-01,21710,HN,MC,light,72727,3.0,0.0,2,1,4,0,0,0,0,126.0,2.0,1.0,0.0158730158730158,36363.5,24242.33333333333,12
2330,2022-01-01,21710,HN,MC,light,81818,3.0,0.0,1,0,6,0,0,0,0,134.0,1.5402298850574712,7.0,0.0804597701149425,81818.0,27272.666666666668,1
2331,2022-02-01,21710,HN,MC,light,13636,2.0,0.0,1,0,1,0,0,0,0,59.0,2.034482758620689,2.0,0.0689655172413793,13636.0,6818.0,2
2415,2021-10-01,22355,HCM,MC,light,137747,5.0,4.0,5,4,6,0,0,0,0,1624.0,26.193548387096776,56.0,0.9032258064516128,27549.4,27549.4,10
2416,2021-11-01,22355,HCM,MC,light,17708,2.0,1.0,1,1,0,0,0,0,0,135.0,15.0,,,17708.0,8854.0,11
2473,2021-11-01,22916,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,121.0,13.444444444444445,4.0,0.4444444444444444,18182.0,18182.0,11
2474,2021-12-01,22916,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,496.0,33.06666666666667,2.0,0.1333333333333333,18182.0,18182.0,12
2475,2022-02-01,22916,HCM,MC,light,36700,3.0,2.0,2,2,0,0,0,0,0,458.0,13.085714285714284,24.0,0.6857142857142857,18350.0,12233.333333333334,2
2586,2021-10-01,24335,HCM,MC,light,63636,2.0,2.0,2,2,3,0,0,0,0,238.0,26.444444444444443,5.0,0.5555555555555555,31818.0,31818.0,10
2587,2021-11-01,24335,HCM,MC,light,24793,1.0,0.0,1,0,2,0,0,0,0,120.0,4.0,3.0,0.1,24793.0,24793.0,11
2588,2022-01-01,24335,HCM,MC,light,86116,2.0,1.0,1,1,5,0,0,0,0,315.0,13.695652173913045,3.0,0.1304347826086956,86116.0,43058.0,1
2589,2021-10-01,24477,HN,MC,light,13636,1.0,0.0,1,0,1,0,0,0,0,49.0,1.5806451612903225,3.0,0.0967741935483871,13636.0,13636.0,10
2623,2021-12-01,25404,HCM,Car,light,18182,1.0,1.0,1,0,1,0,0,0,0,387.0,24.1875,53.0,3.3125,18182.0,18182.0,12
2664,2021-11-01,26166,HCM,MC,light,18182,,,1,1,0,0,0,0,0,,,,,18182.0,,11
2740,2021-10-01,27630,HCM,MC,light,307438,6.0,4.0,6,4,20,0,0,0,0,847.0,9.51685393258427,13.0,0.146067415730337,51239.66666666666,51239.66666666666,10
2756,2021-10-01,28022,HCM,MC,light,29091,2.0,2.0,2,2,0,0,0,0,0,386.0,18.38095238095238,24.0,1.1428571428571428,14545.5,14545.5,10
2757,2021-11-01,28022,HCM,MC,light,27273,2.0,0.0,1,0,2,0,0,0,0,674.0,11.233333333333333,35.0,0.5833333333333333,27273.0,13636.5,11
2758,2022-02-01,28022,HCM,MC,light,31818,1.0,1.0,1,1,1,0,0,0,0,579.0,25.173913043478265,25.0,1.0869565217391304,31818.0,31818.0,2
2767,2021-10-01,28114,HCM,Car,light,89256,1.0,1.0,2,1,4,0,0,0,0,338.0,30.727272727272727,11.0,1.0,44628.0,89256.0,10
2768,2021-11-01,28114,HCM,Car,light,176364,1.0,0.0,1,0,4,2,0,0,0,1188.0,39.6,51.0,1.7,176364.0,176364.0,11
2769,2021-12-01,28114,HCM,Car,light,140000,1.0,0.0,1,0,2,2,0,0,0,992.0,32.0,65.0,2.096774193548387,140000.0,140000.0,12
2770,2022-01-01,28114,HCM,Car,light,18182,1.0,0.0,1,0,1,0,0,0,0,416.0,13.419354838709678,43.0,1.3870967741935485,18182.0,18182.0,1
2771,2022-02-01,28114,HCM,Car,light,73737,1.0,0.0,1,0,4,0,0,0,0,1874.0,66.92857142857143,139.0,4.9642857142857135,73737.0,73737.0,2
2812,2022-02-01,28475,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,406.0,203.0,7.0,3.5,18182.0,18182.0,2
2835,2021-11-01,28870,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,8.0,8.0,,,18182.0,18182.0,11
2897,2021-10-01,30414,HN,Car,light,43636,2.0,2.0,2,2,0,0,0,0,0,231.0,6.078947368421052,7.0,0.1842105263157894,21818.0,21818.0,10
2898,2021-11-01,30414,HN,Car,light,94664,5.0,2.0,3,3,1,0,0,0,0,353.0,4.253012048192771,12.0,0.144578313253012,31554.666666666668,18932.8,11
2899,2021-12-01,30414,HN,Car,light,292490,13.0,9.0,9,9,5,0,0,0,0,1120.0,5.989304812834225,29.0,0.1550802139037433,32498.888888888887,22499.23076923077,12
2900,2022-01-01,30414,HN,Car,light,102767,10.0,3.0,4,3,2,0,0,0,0,1026.0,3.931034482758621,52.0,0.1992337164750957,25691.75,10276.7,1
2901,2022-02-01,30414,HN,Car,light,15810,9.0,0.0,1,0,1,0,0,0,0,1105.0,5.443349753694581,34.0,0.167487684729064,15810.0,1756.6666666666667,2
3105,2021-10-01,32176,HCM,Car,light,313802,2.0,2.0,2,2,12,0,1,0,0,1846.0,92.3,47.0,2.35,156901.0,156901.0,10
3106,2021-11-01,32176,HCM,Car,light,226198,2.0,0.0,2,1,11,0,0,0,0,1184.0,59.2,33.0,1.65,113099.0,113099.0,11
3107,2021-12-01,32176,HCM,Car,light,500000,2.0,1.0,2,1,26,0,0,0,0,1780.0,127.14285714285714,54.0,3.8571428571428568,250000.0,250000.0,12
3108,2022-01-01,32176,HCM,Car,light,227273,1.0,1.0,1,1,11,0,0,0,0,938.0,156.33333333333334,26.0,4.333333333333333,227273.0,227273.0,1
